2023-05-02 15:49:06.737 [TestNG-tests-1] INFO  base.BaseTest -  Launching Chrome browsers 
2023-05-02 15:49:06.804 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User click on Sign in link  
2023-05-02 15:49:07.910 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User click on forget password link  
2023-05-02 15:49:09.630 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User enters password on the forget password page  
2023-05-02 15:49:09.729 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User click  reset password button 
2023-05-02 15:49:11.920 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User Enter Username from excel 
2023-05-02 15:49:12.187 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User Enter password from excel 
2023-05-02 15:49:12.357 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User click Sign in button  
2023-05-02 15:49:17.527 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User Validaing page title  
2023-05-02 15:51:19.550 [TestNG-tests-1] INFO  lumaProject.Tests.LoginpageTest -  User click on Sign in link  
